name,food_type_id,id_city,image_path,description,cover_image,gallery,short_description,detailed_description,ingredients,taste_profile,dietary_warnings,average_rating,review_count,source_location,source_classification,source_section
Cơm cháy Ninh Bình Cơm cháy hải sản,8207dd68-dc15-4c3b-8585-8eed81806619,794fd494-0824-4b3c-b460-b4c9d4102c3f,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/C%C6%A1m_ch%C3%A1y_Ninh_B%C3%ACnh.JPG/120px-C%C6%A1m_ch%C3%A1y_Ninh_B%C3%ACnh.JPG,"Cơm cháy là phần cơm dưới đáy nồi khi nấu cơm thường chín vàng giòn, cơm cháy lấy ra xong phải phơi nắng tự nhiên hai, ba nắng, để chỗ thoáng, tránh ẩm mốc, lúc gần ăn mới chiên giòn",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/C%C6%A1m_ch%C3%A1y_Ninh_B%C3%ACnh.JPG/120px-C%C6%A1m_ch%C3%A1y_Ninh_B%C3%ACnh.JPG,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/C%C6%A1m_ch%C3%A1y_Ninh_B%C3%ACnh.JPG/120px-C%C6%A1m_ch%C3%A1y_Ninh_B%C3%ACnh.JPG""]","Cơm cháy là phần cơm dưới đáy nồi khi nấu cơm thường chín vàng giòn, cơm cháy lấy ra xong phải phơi nắng tự nhiên hai, b","Cơm cháy là phần cơm dưới đáy nồi khi nấu cơm thường chín vàng giòn, cơm cháy lấy ra xong phải phơi nắng tự nhiên hai, ba nắng, để chỗ thoáng, tránh ẩm mốc, lúc gần ăn mới chiên giòn",,,,,0,"Ninh Bình , Hải Phòng",Cơm tẻ,Cơm
Cơm hến,8207dd68-dc15-4c3b-8585-8eed81806619,6fc8742d-40d6-43f9-9fd1-f497b4f62ddc,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/H%E1%BA%BFn_tr%E1%BB%99n.jpg/120px-H%E1%BA%BFn_tr%E1%BB%99n.jpg,"Cơm nguội trộn với hến luộc, nước hến, mắm ruốc, rau bắp cải, tóp mỡ, bánh tráng nướng, mì xào giòn, ớt màu, đậu phộng nguyên hạt, dầu ăn chín, tiêu và muối",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/H%E1%BA%BFn_tr%E1%BB%99n.jpg/120px-H%E1%BA%BFn_tr%E1%BB%99n.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/H%E1%BA%BFn_tr%E1%BB%99n.jpg/120px-H%E1%BA%BFn_tr%E1%BB%99n.jpg""]","Cơm nguội trộn với hến luộc, nước hến, mắm ruốc, rau bắp cải, tóp mỡ, bánh tráng nướng, mì xào giòn, ớt màu, đậu phộng n","Cơm nguội trộn với hến luộc, nước hến, mắm ruốc, rau bắp cải, tóp mỡ, bánh tráng nướng, mì xào giòn, ớt màu, đậu phộng nguyên hạt, dầu ăn chín, tiêu và muối",,,,,0,Huế,Cơm tẻ,Cơm
Cơm gà Quảng Nam,8207dd68-dc15-4c3b-8585-8eed81806619,66b404d0-b35f-4bed-aaf8-2243aa601501,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/C%C6%A1m_g%C3%A0_Tam_K%E1%BB%B3%2C_Qu%E1%BA%A3ng_Nam.JPG/120px-C%C6%A1m_g%C3%A0_Tam_K%E1%BB%B3%2C_Qu%E1%BA%A3ng_Nam.JPG,Cơm tẻ chín tới ăn với gà luộc rưới nước dùng gà,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/C%C6%A1m_g%C3%A0_Tam_K%E1%BB%B3%2C_Qu%E1%BA%A3ng_Nam.JPG/120px-C%C6%A1m_g%C3%A0_Tam_K%E1%BB%B3%2C_Qu%E1%BA%A3ng_Nam.JPG,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/C%C6%A1m_g%C3%A0_Tam_K%E1%BB%B3%2C_Qu%E1%BA%A3ng_Nam.JPG/120px-C%C6%A1m_g%C3%A0_Tam_K%E1%BB%B3%2C_Qu%E1%BA%A3ng_Nam.JPG""]",Cơm tẻ chín tới ăn với gà luộc rưới nước dùng gà,Cơm tẻ chín tới ăn với gà luộc rưới nước dùng gà,,,,,0,Quảng Nam,Cơm tẻ,Cơm
Cơm lam,8207dd68-dc15-4c3b-8585-8eed81806619,0439b7ef-0eef-44d0-a527-8802d1694076,https://upload.wikimedia.org/wikipedia/vi/thumb/3/3c/Comlam.jpg/120px-Comlam.jpg,"Được làm từ gạo nếp cùng một số nguyên liệu khác, cho vào ống tre, giang, nứa và nướng chín trên lửa",https://upload.wikimedia.org/wikipedia/vi/thumb/3/3c/Comlam.jpg/120px-Comlam.jpg,"[""https://upload.wikimedia.org/wikipedia/vi/thumb/3/3c/Comlam.jpg/120px-Comlam.jpg""]","Được làm từ gạo nếp cùng một số nguyên liệu khác, cho vào ống tre, giang, nứa và nướng chín trên lửa","Được làm từ gạo nếp cùng một số nguyên liệu khác, cho vào ống tre, giang, nứa và nướng chín trên lửa",,,,,0,"Trung du và miền núi phía Bắc , Tây Nguyên",Cơm nếp,Cơm
Cơm nắm,8207dd68-dc15-4c3b-8585-8eed81806619,c6ef84fe-e7ac-41b0-b338-1d0775331eb1,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Rice_balls_to_freeze.jpg/120px-Rice_balls_to_freeze.jpg,"Là món ăn có từ rất xa xưa của dân tộc. Cơm trắng nóng hổi đem nén chặt thành tấm bằng hai bàn tay rồi xắt miếng chấm với muối vừng vừa dẻo vừa bùi hài hòa vị mặn, ngọt.",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Rice_balls_to_freeze.jpg/120px-Rice_balls_to_freeze.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Rice_balls_to_freeze.jpg/120px-Rice_balls_to_freeze.jpg""]",Là món ăn có từ rất xa xưa của dân tộc. Cơm trắng nóng hổi đem nén chặt thành tấm bằng hai bàn tay rồi xắt miếng chấm vớ,"Là món ăn có từ rất xa xưa của dân tộc. Cơm trắng nóng hổi đem nén chặt thành tấm bằng hai bàn tay rồi xắt miếng chấm với muối vừng vừa dẻo vừa bùi hài hòa vị mặn, ngọt.",,,,,0,Miền Bắc,Cơm tẻ,Cơm
Cơm nếp,8207dd68-dc15-4c3b-8585-8eed81806619,096cb2da-4203-4c2b-a0b6-c26377e0b9a0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Steamed_glutinous_rice_2.gif/120px-Steamed_glutinous_rice_2.gif,"Được nấu bằng gạo nếp, khác biệt với xôi chủ yếu ở phương thức nấu trực tiếp trong nước, không làm chín bằng hơi nước.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Steamed_glutinous_rice_2.gif/120px-Steamed_glutinous_rice_2.gif,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Steamed_glutinous_rice_2.gif/120px-Steamed_glutinous_rice_2.gif""]","Được nấu bằng gạo nếp, khác biệt với xôi chủ yếu ở phương thức nấu trực tiếp trong nước, không làm chín bằng hơi nước.","Được nấu bằng gạo nếp, khác biệt với xôi chủ yếu ở phương thức nấu trực tiếp trong nước, không làm chín bằng hơi nước.",,,,,0,Khắp cả nước,Cơm nếp,Cơm
Cơm rang,8207dd68-dc15-4c3b-8585-8eed81806619,096cb2da-4203-4c2b-a0b6-c26377e0b9a0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Comchienchabong.jpg/120px-Comchienchabong.jpg,"Cơm cùng với dầu ăn hoặc mỡ được chiên với những thức ăn khác như thịt, trứng... Món ăn cực kỳ phổ biến tại Việt Nam",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Comchienchabong.jpg/120px-Comchienchabong.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Comchienchabong.jpg/120px-Comchienchabong.jpg""]","Cơm cùng với dầu ăn hoặc mỡ được chiên với những thức ăn khác như thịt, trứng... Món ăn cực kỳ phổ biến tại Việt Nam","Cơm cùng với dầu ăn hoặc mỡ được chiên với những thức ăn khác như thịt, trứng... Món ăn cực kỳ phổ biến tại Việt Nam",,,,,0,Khắp cả nước,Cơm tẻ,Cơm
Cơm tấm,8207dd68-dc15-4c3b-8585-8eed81806619,27e0cdab-29f3-4d4a-8625-cf9f82a9636e,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Com-Tam-2008.jpg/120px-Com-Tam-2008.jpg,"Cơm tấm có thể gồm cả sườn, bì, chả, trứng hoặc không gồm đầy đủ các món trên nhưng phải có nước mắm ngọt",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Com-Tam-2008.jpg/120px-Com-Tam-2008.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Com-Tam-2008.jpg/120px-Com-Tam-2008.jpg""]","Cơm tấm có thể gồm cả sườn, bì, chả, trứng hoặc không gồm đầy đủ các món trên nhưng phải có nước mắm ngọt","Cơm tấm có thể gồm cả sườn, bì, chả, trứng hoặc không gồm đầy đủ các món trên nhưng phải có nước mắm ngọt",,,,,0,Miền Nam ( Thành phố Hồ Chí Minh ),Cơm tấm (gạo tẻ vụn),Cơm
Cơm trắng,8207dd68-dc15-4c3b-8585-8eed81806619,096cb2da-4203-4c2b-a0b6-c26377e0b9a0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Meshi.jpg/120px-Meshi.jpg,"Được làm ra từ gạo bằng cách đem nấu với một lượng vừa đủ nước, chỉ có nguyên liệu là gạo tẻ và không có thêm gia vị, là thức ăn gần như hàng ngày của người Việt",https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Meshi.jpg/120px-Meshi.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Meshi.jpg/120px-Meshi.jpg""]","Được làm ra từ gạo bằng cách đem nấu với một lượng vừa đủ nước, chỉ có nguyên liệu là gạo tẻ và không có thêm gia vị, là","Được làm ra từ gạo bằng cách đem nấu với một lượng vừa đủ nước, chỉ có nguyên liệu là gạo tẻ và không có thêm gia vị, là thức ăn gần như hàng ngày của người Việt",,,,,0,Khắp cả nước,Cơm tẻ,Cơm
Cơm rượu,8207dd68-dc15-4c3b-8585-8eed81806619,096cb2da-4203-4c2b-a0b6-c26377e0b9a0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Comruou.jpg/120px-Comruou.jpg,"Món ăn có cồn không qua chưng cất, được chế biến từ gạo nếp đồ chín thành xôi, để nguội và ủ với men rượu cho lên men",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Comruou.jpg/120px-Comruou.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Comruou.jpg/120px-Comruou.jpg""]","Món ăn có cồn không qua chưng cất, được chế biến từ gạo nếp đồ chín thành xôi, để nguội và ủ với men rượu cho lên men","Món ăn có cồn không qua chưng cất, được chế biến từ gạo nếp đồ chín thành xôi, để nguội và ủ với men rượu cho lên men",,,,,0,Khắp cả nước,Cơm nếp,Cơm
Cá kho,b80b73b6-5628-4160-8bdd-a4db45d7e5ca,096cb2da-4203-4c2b-a0b6-c26377e0b9a0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/C%C3%A1_kho_t%E1%BB%99%2C_c%C3%A1_h%C3%BA.jpg/120px-C%C3%A1_kho_t%E1%BB%99%2C_c%C3%A1_h%C3%BA.jpg,"Cá chế biến bằng cách kho với nước hàng , vị chua, vị ngọt và nước mắm",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/C%C3%A1_kho_t%E1%BB%99%2C_c%C3%A1_h%C3%BA.jpg/120px-C%C3%A1_kho_t%E1%BB%99%2C_c%C3%A1_h%C3%BA.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/C%C3%A1_kho_t%E1%BB%99%2C_c%C3%A1_h%C3%BA.jpg/120px-C%C3%A1_kho_t%E1%BB%99%2C_c%C3%A1_h%C3%BA.jpg""]","Cá chế biến bằng cách kho với nước hàng , vị chua, vị ngọt và nước mắm","Cá chế biến bằng cách kho với nước hàng , vị chua, vị ngọt và nước mắm",,,,,0,Khắp cả nước,Món cá,Món thường ngày
Cá khô,b80b73b6-5628-4160-8bdd-a4db45d7e5ca,096cb2da-4203-4c2b-a0b6-c26377e0b9a0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Sardinas_salaz%C3%B3n-2009.jpg/120px-Sardinas_salaz%C3%B3n-2009.jpg,"Cá tươi đem bỏ ruột, để nguyên con, xẻ đôi, rồi đem phơi khô ngoài nắng. Trước khi phơi có khi cá được xát muối để giúp việc bảo quản. Cá thu và cá thiều khô được nhiều người ưa chuộng.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Sardinas_salaz%C3%B3n-2009.jpg/120px-Sardinas_salaz%C3%B3n-2009.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Sardinas_salaz%C3%B3n-2009.jpg/120px-Sardinas_salaz%C3%B3n-2009.jpg""]","Cá tươi đem bỏ ruột, để nguyên con, xẻ đôi, rồi đem phơi khô ngoài nắng. Trước khi phơi có khi cá được xát muối để giúp ","Cá tươi đem bỏ ruột, để nguyên con, xẻ đôi, rồi đem phơi khô ngoài nắng. Trước khi phơi có khi cá được xát muối để giúp việc bảo quản. Cá thu và cá thiều khô được nhiều người ưa chuộng.",,,,,0,Khắp cả nước,Đồ khô,Món thường ngày
Chả,b80b73b6-5628-4160-8bdd-a4db45d7e5ca,096cb2da-4203-4c2b-a0b6-c26377e0b9a0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Bun_Cha.jpg/120px-Bun_Cha.jpg,"Miếng thịt lợn, thịt bò, cá, tôm, mực..., kích thước thích hợp, nguyên miếng (chả miếng) hay là được băm viên (chả viên), giã hay xay nhuyễn rồi rán hoặc nướng.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Bun_Cha.jpg/120px-Bun_Cha.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Bun_Cha.jpg/120px-Bun_Cha.jpg""]","Miếng thịt lợn, thịt bò, cá, tôm, mực..., kích thước thích hợp, nguyên miếng (chả miếng) hay là được băm viên (chả viên)","Miếng thịt lợn, thịt bò, cá, tôm, mực..., kích thước thích hợp, nguyên miếng (chả miếng) hay là được băm viên (chả viên), giã hay xay nhuyễn rồi rán hoặc nướng.",,,,,0,Khắp cả nước,Món thịt,Món thường ngày
Dồi,b80b73b6-5628-4160-8bdd-a4db45d7e5ca,096cb2da-4203-4c2b-a0b6-c26377e0b9a0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/D%E1%BB%93i.jpg/120px-D%E1%BB%93i.jpg,"Lòng già được nhồi đầy hỗn hợp gồm tiết và các loại rau, gia vị, tỏi, lạc và đậu xanh. Sau khi nhồi đầy chặt thì được hấp cách thủy cho chín hoặc nướng.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/D%E1%BB%93i.jpg/120px-D%E1%BB%93i.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/D%E1%BB%93i.jpg/120px-D%E1%BB%93i.jpg""]","Lòng già được nhồi đầy hỗn hợp gồm tiết và các loại rau, gia vị, tỏi, lạc và đậu xanh. Sau khi nhồi đầy chặt thì được hấ","Lòng già được nhồi đầy hỗn hợp gồm tiết và các loại rau, gia vị, tỏi, lạc và đậu xanh. Sau khi nhồi đầy chặt thì được hấp cách thủy cho chín hoặc nướng.",,,,,0,Khắp cả nước,Phủ tạng,Món thường ngày
Dưa muối,b80b73b6-5628-4160-8bdd-a4db45d7e5ca,096cb2da-4203-4c2b-a0b6-c26377e0b9a0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/D%C6%B0a_mu%E1%BB%91i.JPG/120px-D%C6%B0a_mu%E1%BB%91i.JPG,"Sử dụng rất đa dạng các loại rau, củ, quả phối trộn với muối theo một tỉ lệ nhất định theo kinh nghiệm của người ẩm thực không quá mặn cũng không quá nhạt.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/D%C6%B0a_mu%E1%BB%91i.JPG/120px-D%C6%B0a_mu%E1%BB%91i.JPG,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/D%C6%B0a_mu%E1%BB%91i.JPG/120px-D%C6%B0a_mu%E1%BB%91i.JPG""]","Sử dụng rất đa dạng các loại rau, củ, quả phối trộn với muối theo một tỉ lệ nhất định theo kinh nghiệm của người ẩm thực","Sử dụng rất đa dạng các loại rau, củ, quả phối trộn với muối theo một tỉ lệ nhất định theo kinh nghiệm của người ẩm thực không quá mặn cũng không quá nhạt.",,,,,0,Khắp cả nước,Lên men,Món thường ngày
Giò,b80b73b6-5628-4160-8bdd-a4db45d7e5ca,096cb2da-4203-4c2b-a0b6-c26377e0b9a0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Gio_lua_2.jpg/120px-Gio_lua_2.jpg,"Giò là thịt (gia súc, gia cầm) giã nhuyễn, được gói chặt và luộc chín trong nước, thịnh hành trong ẩm thực Việt Nam với nhiều biến thể",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Gio_lua_2.jpg/120px-Gio_lua_2.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Gio_lua_2.jpg/120px-Gio_lua_2.jpg""]","Giò là thịt (gia súc, gia cầm) giã nhuyễn, được gói chặt và luộc chín trong nước, thịnh hành trong ẩm thực Việt Nam với ","Giò là thịt (gia súc, gia cầm) giã nhuyễn, được gói chặt và luộc chín trong nước, thịnh hành trong ẩm thực Việt Nam với nhiều biến thể",,,,,0,Khắp cả nước,Món thịt,Món thường ngày
Kho quẹt,b80b73b6-5628-4160-8bdd-a4db45d7e5ca,51eb38d6-9728-4d90-b7fe-c2f8236144a2,,,,[],,,,,,,0,,,Món thường ngày
Mắm chưng,b80b73b6-5628-4160-8bdd-a4db45d7e5ca,51eb38d6-9728-4d90-b7fe-c2f8236144a2,,,,[],,,,,,,0,,,Món thường ngày
Lòng non Tràng,b80b73b6-5628-4160-8bdd-a4db45d7e5ca,096cb2da-4203-4c2b-a0b6-c26377e0b9a0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Tr%C3%A0ng_l%E1%BB%A3n_lu%E1%BB%99c.jpg/120px-Tr%C3%A0ng_l%E1%BB%A3n_lu%E1%BB%99c.jpg,Lòng lợn non luộc chín hoặc xào,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Tr%C3%A0ng_l%E1%BB%A3n_lu%E1%BB%99c.jpg/120px-Tr%C3%A0ng_l%E1%BB%A3n_lu%E1%BB%99c.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Tr%C3%A0ng_l%E1%BB%A3n_lu%E1%BB%99c.jpg/120px-Tr%C3%A0ng_l%E1%BB%A3n_lu%E1%BB%99c.jpg""]",Lòng lợn non luộc chín hoặc xào,Lòng lợn non luộc chín hoặc xào,,,,,0,Khắp cả nước,Phủ tạng,Món thường ngày
Rau muống xào tỏi,b80b73b6-5628-4160-8bdd-a4db45d7e5ca,096cb2da-4203-4c2b-a0b6-c26377e0b9a0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Rau_mu%E1%BB%91ng_x%C3%A0o_t%E1%BB%8Fi.jpg/120px-Rau_mu%E1%BB%91ng_x%C3%A0o_t%E1%BB%8Fi.jpg,Rau muống luộc qua hoặc không xào trên lửa to với dầu (mỡ) và tỏi đập dập,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Rau_mu%E1%BB%91ng_x%C3%A0o_t%E1%BB%8Fi.jpg/120px-Rau_mu%E1%BB%91ng_x%C3%A0o_t%E1%BB%8Fi.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Rau_mu%E1%BB%91ng_x%C3%A0o_t%E1%BB%8Fi.jpg/120px-Rau_mu%E1%BB%91ng_x%C3%A0o_t%E1%BB%8Fi.jpg""]",Rau muống luộc qua hoặc không xào trên lửa to với dầu (mỡ) và tỏi đập dập,Rau muống luộc qua hoặc không xào trên lửa to với dầu (mỡ) và tỏi đập dập,,,,,0,Khắp cả nước,Rau xào,Món thường ngày
Riêu Canh chua,b80b73b6-5628-4160-8bdd-a4db45d7e5ca,096cb2da-4203-4c2b-a0b6-c26377e0b9a0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Canhchua2.jpg/120px-Canhchua2.jpg,"Các loại rau củ quả nấu với các loại thịt hay thủy sản khác nhau, trong đó dùng một gia vị chua để tạo vị chua thơm ngon cho nước canh",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Canhchua2.jpg/120px-Canhchua2.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Canhchua2.jpg/120px-Canhchua2.jpg""]","Các loại rau củ quả nấu với các loại thịt hay thủy sản khác nhau, trong đó dùng một gia vị chua để tạo vị chua thơm ngon","Các loại rau củ quả nấu với các loại thịt hay thủy sản khác nhau, trong đó dùng một gia vị chua để tạo vị chua thơm ngon cho nước canh",,,,,0,Khắp cả nước,Canh,Món thường ngày
Ruốc Chà bông,b80b73b6-5628-4160-8bdd-a4db45d7e5ca,096cb2da-4203-4c2b-a0b6-c26377e0b9a0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Fragrance_Pork_Floss.jpg/120px-Fragrance_Pork_Floss.jpg,"Chế biến từ thịt lợn nạc, thịt gà bỏ xương và da, cá rút xương, bỏ da hoặc tôm to rang chín rồi dùng chày giã dập, cho vào chảo tiếp tục rang, sấy thật nhỏ lửa",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Fragrance_Pork_Floss.jpg/120px-Fragrance_Pork_Floss.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Fragrance_Pork_Floss.jpg/120px-Fragrance_Pork_Floss.jpg""]","Chế biến từ thịt lợn nạc, thịt gà bỏ xương và da, cá rút xương, bỏ da hoặc tôm to rang chín rồi dùng chày giã dập, cho v","Chế biến từ thịt lợn nạc, thịt gà bỏ xương và da, cá rút xương, bỏ da hoặc tôm to rang chín rồi dùng chày giã dập, cho vào chảo tiếp tục rang, sấy thật nhỏ lửa",,,,,0,Khắp cả nước,Món thịt,Món thường ngày
Thịt kho,b80b73b6-5628-4160-8bdd-a4db45d7e5ca,096cb2da-4203-4c2b-a0b6-c26377e0b9a0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Thit-kho-tieu-1.jpg/120px-Thit-kho-tieu-1.jpg,"Thịt lợn (luôn phải có mỡ, nếu không phải thêm mỡ hoặc dầu ăn) vào nồi đun cho tới chín, cho thêm nước mắm để có vị mặn nhạt theo sở thích",https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Thit-kho-tieu-1.jpg/120px-Thit-kho-tieu-1.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Thit-kho-tieu-1.jpg/120px-Thit-kho-tieu-1.jpg""]","Thịt lợn (luôn phải có mỡ, nếu không phải thêm mỡ hoặc dầu ăn) vào nồi đun cho tới chín, cho thêm nước mắm để có vị mặn ","Thịt lợn (luôn phải có mỡ, nếu không phải thêm mỡ hoặc dầu ăn) vào nồi đun cho tới chín, cho thêm nước mắm để có vị mặn nhạt theo sở thích",,,,,0,Khắp cả nước,Món thịt,Món thường ngày
Thịt kho Tàu,b80b73b6-5628-4160-8bdd-a4db45d7e5ca,096cb2da-4203-4c2b-a0b6-c26377e0b9a0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Caramelized_Pork_and_Eggs.jpg/120px-Caramelized_Pork_and_Eggs.jpg,Thịt lợn (có mỡ) kho với trứng và nước dừa,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Caramelized_Pork_and_Eggs.jpg/120px-Caramelized_Pork_and_Eggs.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Caramelized_Pork_and_Eggs.jpg/120px-Caramelized_Pork_and_Eggs.jpg""]",Thịt lợn (có mỡ) kho với trứng và nước dừa,Thịt lợn (có mỡ) kho với trứng và nước dừa,,,,,0,Khắp cả nước,Món thịt,Món thường ngày
Oản,f27da9a3-ef9f-42ec-bc23-64dd868be453,096cb2da-4203-4c2b-a0b6-c26377e0b9a0,,"Xôi trắng, đường cát hoặc bột bánh khảo đóng lại thành hình chóp cụt dùng để cúng Phật",,[],"Xôi trắng, đường cát hoặc bột bánh khảo đóng lại thành hình chóp cụt dùng để cúng Phật","Xôi trắng, đường cát hoặc bột bánh khảo đóng lại thành hình chóp cụt dùng để cúng Phật",,,,,0,Khắp cả nước,Xôi cúng,Xôi
Xôi chiên,f27da9a3-ef9f-42ec-bc23-64dd868be453,096cb2da-4203-4c2b-a0b6-c26377e0b9a0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/X%C3%B4i_chi%C3%AAn.JPG/120px-X%C3%B4i_chi%C3%AAn.JPG,"Xôi trắng ấn dẹt thành từng bánh rồi chiên ngập dầu, hoặc có thể chiên phồng thành dạng tròn xoay như hình cầu.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/X%C3%B4i_chi%C3%AAn.JPG/120px-X%C3%B4i_chi%C3%AAn.JPG,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/X%C3%B4i_chi%C3%AAn.JPG/120px-X%C3%B4i_chi%C3%AAn.JPG""]","Xôi trắng ấn dẹt thành từng bánh rồi chiên ngập dầu, hoặc có thể chiên phồng thành dạng tròn xoay như hình cầu.","Xôi trắng ấn dẹt thành từng bánh rồi chiên ngập dầu, hoặc có thể chiên phồng thành dạng tròn xoay như hình cầu.",,,,,0,Khắp cả nước,Xôi ăn chính,Xôi
Xôi đỗ xanh Xôi đậu xanh,f27da9a3-ef9f-42ec-bc23-64dd868be453,c6ef84fe-e7ac-41b0-b338-1d0775331eb1,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/X%C3%B4i_%C4%91%E1%BB%97_xanh.jpg/120px-X%C3%B4i_%C4%91%E1%BB%97_xanh.jpg,"Đỗ xanh chà vỏ, ngâm nở và đãi bỏ vỏ (hoặc có thể để nguyên vỏ) trộn với gạo nếp và đồ chín. Đây là một loại xôi phổ biến và có rất nhiều loại xôi tương tự được chế biến với các loại đậu, đỗ",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/X%C3%B4i_%C4%91%E1%BB%97_xanh.jpg/120px-X%C3%B4i_%C4%91%E1%BB%97_xanh.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/X%C3%B4i_%C4%91%E1%BB%97_xanh.jpg/120px-X%C3%B4i_%C4%91%E1%BB%97_xanh.jpg""]","Đỗ xanh chà vỏ, ngâm nở và đãi bỏ vỏ (hoặc có thể để nguyên vỏ) trộn với gạo nếp và đồ chín. Đây là một loại xôi phổ biế","Đỗ xanh chà vỏ, ngâm nở và đãi bỏ vỏ (hoặc có thể để nguyên vỏ) trộn với gạo nếp và đồ chín. Đây là một loại xôi phổ biến và có rất nhiều loại xôi tương tự được chế biến với các loại đậu, đỗ",,,,,0,"Miền Bắc , Miền Trung",Xôi ăn sáng,Xôi
